lab,subid,lang1_exposure,lang2_exposure,lang3_exposure,lang4_exposure,bilingual,bilingual_exposure
babylabprinceton,babylabprinceton_manybabiesbl002,80,20,0,0,TRUE,FALSE
babylabprinceton,babylabprinceton_manybabiesbl010,80,18,2,0,TRUE,FALSE
babylabprinceton,babylabprinceton_manybabiesbl018,65,20,15,0,TRUE,FALSE
babylabkingswood,babylabkingswood_mb2396,75,25,0,0,FALSE,TRUE
babylabparisdescartes1,babylabparisdescartes1_mbbab11,75,15,10,0,TRUE,FALSE
bllumanitoba,bllumanitoba_2928,73,27,0,0,FALSE,TRUE
babylabbrookes,babylabbrookes_mb32,76,24,0,0,TRUE,FALSE
babylabbrookes,babylabbrookes_mb44,80,20,0,0,TRUE,FALSE
babylabbrookes,babylabbrookes_mb52,72,24,4,0,TRUE,FALSE
babylabbrookes,babylabbrookes_mb56,79,21,0,0,TRUE,FALSE
babylabbrookes,babylabbrookes_mb59,77,23,0,0,TRUE,FALSE
babylabbrookes,babylabbrookes_mb67,78,22,0,0,TRUE,FALSE
babylabbrookes,babylabbrookes_mb73,39,24,21,16,TRUE,FALSE
babylabbrookes,babylabbrookes_mb98,88,12,0,0,TRUE,FALSE
babylabbrookes,babylabbrookes_mb110,78,22,0,0,TRUE,FALSE
babylabbrookes,babylabbrookes_mb120,79,21,0,0,TRUE,FALSE
cdcceu,cdcceu_mb42,82,18,0,0,TRUE,FALSE
cdcceu,cdcceu_mb43,82,18,0,0,TRUE,FALSE
infantcogubc,infantcogubc_kk19,70,10,20,0,TRUE,FALSE
nusinfantlanguagecentre,nusinfantlanguagecentre_mb025,74,21,2,0,TRUE,FALSE
isplabmcgill,isplabmcgill_b06,43,35,22,0,FALSE,TRUE
langlabucla,langlabucla_mb1204,83,17,0,0,TRUE,FALSE
langlabucla,langlabucla_mb1207,89,11,0,0,TRUE,FALSE
langlabucla,langlabucla_mb1208,80,20,0,0,TRUE,FALSE
langlabucla,langlabucla_mb1213,77,22,0,0,TRUE,FALSE
langlabucla,langlabucla_mb1214,13,86,0,0,TRUE,FALSE
ldlottawa,ldlottawa_mbbids03ecmuseum,56,43,0,0,FALSE,TRUE
ldlottawa,ldlottawa_mbbids60apmuseum,68,32,0,0,FALSE,TRUE
ldlottawa,ldlottawa_mbbids62emmuseum,71,29,0,0,FALSE,TRUE
lllliv,lllliv_mb019,50,32,8,8,FALSE,TRUE
lllliv,lllliv_mb020,41,49,9,0,FALSE,TRUE
lllliv,lllliv_mb021,59,40,0,0,FALSE,TRUE
lllliv,lllliv_mb022,67,33,0,0,FALSE,TRUE
lllliv,lllliv_mb023,50,32,16,0,FALSE,TRUE
lllliv,lllliv_mb026,74,25,0,0,FALSE,TRUE
lllliv,lllliv_mb027,61,38,0,0,FALSE,TRUE
lllliv,lllliv_mb029,73,26,0,0,FALSE,TRUE
lllliv,lllliv_mb049,62,37,0,0,FALSE,TRUE
lllliv,lllliv_mb050,55,44,0,0,FALSE,TRUE
lllliv,lllliv_mb051,57,29,13,0,FALSE,TRUE
lllliv,lllliv_mb052,58,25,16,0,FALSE,TRUE
lllliv,lllliv_mb053,74,25,0,0,FALSE,TRUE
lllliv,lllliv_mb054,65,25,9,0,FALSE,TRUE
lllliv,lllliv_mb055,74,25,0,0,FALSE,TRUE
